chemise,chat,chapeau,chanson
canapé,carte,concombre,conduire
meilleur,vieille,papillon,détail
feu,mieux,bœuf,rumeur
ours,fou,coût,écouter
froid,soirée,miroir,espoir
ainsi,humain,copain,prochain
ananas,anonyme,annuler,animale
jumeau,beauté,plateau,manteau
août,appeler,attirer,arrêt
balle,banc,bêtise,billet
début,défi,détester,dinde
effacer,emprunter,escalier,ennuyeux
éloigner,épaule,épicerie,enchanté
foncé,fraise,framboise,frère
gaspiller,gentil,grignoter,grain
habitude,haut,hésitant,haleter
insister,interet,inspirer,impact
jardin,japon,jeunesse,joueur
lancer,livre,logement,long
mais,maïs,matelas,merci
natation,nez,nourriture,nuit
oeuf,oeufs,oreille,oreiller
parfum,partout,passager,passeport
quai,queue,quelqu'un,quête
rappeler,rater,recette,résumer
sympathie,sans,société,souvent
tout,travail,trop,titre
usage,utile,unité,université
vente,vue,véritable,voiture
chaque,chiffre,chef,chacun
thérapie,méthode,esthétique,authentique
compagnie,signifier,campagne,gagner
difficile,participation,décision,bénéfice
cadre,occasion,encore,comme
portefeuille,taille,accueil,médaille
peu,valeur,plusieurs,nombreux
pour,cours,coup,courant
loi,besoin,moitié,mémoire
semaine,sain,simple,immeuble
banque,cependant,personne,raison
peau,veau,panneau,tonneau
autre,autant,atteindre,aucun
bois,britannique,baisser,bref
devenir,danger,disparu,dessin
ensuite,entrer,rentrer,explication
étude,écran,émission,étape
ferme,four,fameux,faux
gamme,guerre,grimper,garanti
hommage,huile,hormis,habituellement
inférieur,inconnu,incapable,influencer
jugement,japonais,joie,joindre
longtemps,lever,laver,loisir
mondial,malade,malaise,manquer
néerlandais,neutre,nul,naître
obtenir,offrir,oser,odeur
pauvre,presque,pression,privé
quotidien,québec,question,quantitativement
ralentir,réseau,responsable,retard
surtout,saison,souhaiter,soucier
travers,traiter,témoigner,terminer
urbain,ultérieur,usager,utilisateur
vapeur,vinaigre,volontaire,virage
champ,chauffer,charger,chaise
hypothécaire,synthétique,mythe,rythme
montagne,souligner,gagnant,désigner
ancien,associé,cible,apparence
camion,écart,cacher,casser
veiller,paille,coquille,conseiller
pneu,malheur,bonheur,peuple
poursuivre,remboursement,lourd,coucher
voix,emploi,endroit,obligatoire
aimer,dizaine,crainte,plaindre
option,conséquence,réunir,avancer
barreau,renouveau,berceau,créneau
admettre,adapter,amour,abonné
bruit,bijou,bâiller,brusquement
convaincre,couvrir,côté,combien
dire,décrire,dur,diriger
espace,envisager,examen,enseigner
établir,équilibrer,énergie,éviter
féliciter,fondre,fêter,fraude
guérir,grossir,glisser,graisse
habiter,heurté,harmonie,homard
investir,inscrit,immédiat,indiquer
jouer,juriste,journée,justifier
libre,lorsque,lutte,livrer
mot,métier,mouvement,magasin
naissance,nettoyer,noir,nourrir
objet,organiser,orage,ouvrier
parfaitement,procédure,perdre,porter
qualifier,quarante,quitter,quasi
réduire,rachat,rencontrer,réaliser
savoir,scénario,souffle,souffrir
typique,tissu,transformer,trésor
usité,urger,ulcérer,utilitaire
vérité,ventre,vaste,voler
chemin,déchet,affiche,échanger
éthique,catholique,thermique,mathématiques
épargne,clignoter,atteignable,magnifique
conscience,exercice,décider,susciter
caisse,candidat,carré,canard
briller,surveiller,bouteille,mille
œuvre,sœur,manœuvre,cœur
soutenir,douce,pousser,pouce
poisson,poignée,chinois,valoir
